<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.26	10102.15	10132.95	9836.95	9857.45	347301	0	0
2020.06.29	9794.35	10009.50	9741.60	9998.50	331651	0	0
2020.06.30	9991.30	10183.35	9952.20	10151.45	302151	0	0
2020.07.01	10149.80	10320.70	10088.20	10267.70	347101	0	0
2020.07.02	10266.85	10431.35	10257.75	10360.50	253551	0	0
2020.07.03	10358.15	10400.80	10320.30	10336.25	139101	0	0
2020.07.06	10359.75	10625.40	10352.50	10609.40	296151	0	0
2020.07.07	10613.05	10705.20	10516.70	10537.45	301401	0	0
2020.07.08	10536.20	10683.85	10516.20	10682.60	188901	0	0
2020.07.09	10692.85	10784.00	10571.00	10734.50	384351	0	0
2020.07.10	10736.90	10884.51	10636.65	10853.50	379121	0	0
2020.07.13	10859.70	11069.75	10573.55	10610.15	742851	0	0
2020.07.14	10614.80	10703.70	10370.20	10655.20	626601	0	0
2020.07.15	10723.70	10776.90	10562.00	10699.15	405251	0	0
2020.07.16	10701.10	10708.75	10486.55	10544.70	288001	0	0
2020.07.17	10549.20	10680.00	10534.85	10633.85	205651	0	0
2020.07.20	10630.25	10973.65	10557.15	10958.40	504851	0	0
2020.07.21	10959.75	11068.90	10796.25	10856.60	442151	0	0
2020.07.22	10852.90	10927.20	10772.60	10856.65	305451	0	0
2020.07.23	10860.10	10949.50	10525.75	10575.75	563151	0	0
2020.07.24	10579.40	10608.80	10313.80	10471.95	482551	0	0
2020.07.27	10492.30	10695.20	10412.95	10693.70	363101	0	0
2020.07.28	10692.30	10769.70	10525.45	10559.20	355401	0	0
2020.07.29	10571.90	10711.05	10524.30	10710.30	235101	0	0
2020.07.30	10708.50	10905.90	10513.50	10902.15	591151	0	0
2020.07.31	10917.30	10949.45	10701.80	10925.95	486651	0	0
2020.08.03	10941.35	11083.75	10887.25	11063.50	270851	0	0
2020.08.04	11062.60	11106.40	10994.90	11089.90	195701	0	0
2020.08.05	11088.15	11155.95	11068.05	11107.80	156151	0	0
2020.08.06	11102.25	11281.90	11061.40	11268.65	274601	0	0
2020.08.07	11267.45	11290.35	11043.25	11139.50	366251	0	0
2020.08.10	11148.35	11154.25	10936.35	11087.50	374951	0	0
2020.08.11	11075.45	11166.05	10853.65	10918.90	468251	0	0
2020.08.12	10947.10	11193.30	10887.25	11125.95	433251	0	0
2020.08.13	11122.65	11274.30	11102.80	11190.05	275601	0	0
2020.08.14	11188.90	11245.05	11103.55	11154.30	248401	0	0
2020.08.17	11155.70	11308.70	11155.70	11295.45	166251	0	0
2020.08.18	11291.75	11422.85	11275.05	11421.60	165751	0	0
2020.08.19	11417.20	11443.65	11303.80	11325.55	188051	0	0
2020.08.20	11319.70	11501.45	11226.05	11485.15	385351	0	0
2020.08.21	11486.55	11578.20	11411.95	11567.70	251351	0	0
2020.08.24	11591.15	11727.40	11534.00	11639.35	338601	0	0
2020.08.25	11641.70	11747.60	11580.75	11741.60	233801	0	0
2020.08.26	11741.20	12006.85	11732.10	11990.60	300101	0	0
2020.08.27	11985.60	12050.75	11839.50	11952.00	388901	0	0
2020.08.28	11955.50	12022.40	11925.15	12006.90	143101	0	0
2020.08.31	12011.50	12169.40	11993.40	12109.90	253601	0	0
2020.09.01	12113.05	12333.20	12097.70	12332.70	251351	0	0
2020.09.02	12325.35	12469.00	12176.55	12412.05	498201	0	0
2020.09.03	12412.10	12440.75	11661.65	11804.25	950351	0	0
2020.09.04	11729.70	11845.85	11145.20	11540.60	1212201	0	0
2020.09.07	11544.95	11549.35	11310.85	11500.80	432851	0	0
2020.09.08	11510.20	11587.60	11043.70	11047.35	624951	0	0
2020.09.09	11043.55	11481.50	10938.95	11373.35	755301	0	0
2020.09.10	11381.90	11569.05	11092.45	11181.05	752351	0	0
2020.09.11	11194.90	11359.80	10940.90	11075.80	718701	0	0
2020.09.14	11118.10	11366.65	11085.95	11277.00	402501	0	0
2020.09.15	11288.35	11498.40	11250.25	11465.25	319401	0	0
2020.09.16	11469.85	11551.90	11240.50	11267.00	419951	0	0
2020.09.17	11275.30	11305.45	10921.45	11081.95	574651	0	0
2020.09.18	11071.75	11176.90	10757.90	10953.65	719901	0	0
2020.09.21	10936.00	11025.85	10672.40	10997.60	645301	0	0
2020.09.22	10983.50	11208.15	10914.40	11169.90	401101	0	0
2020.09.23	11179.25	11238.90	10802.65	10835.65	528901	0	0
2020.09.24	10817.60	11028.00	10678.50	10924.75	591851	0	0
2020.09.25	10936.90	11182.05	10829.40	11150.30	491901	0	0
2020.09.28	11164.70	11419.60	11156.60	11410.35	280351	0	0
2020.09.29	11399.10	11464.00	11304.50	11335.25	255151	0	0
2020.09.30	11328.20	11541.70	11182.85	11372.85	673051	0	0
2020.10.01	11397.05	11614.10	11395.05	11586.45	248701	0	0
2020.10.02	11586.00	11619.65	11220.40	11267.15	479651	0	0
2020.10.05	11329.60	11511.10	11283.50	11484.50	300301	0	0
2020.10.06	11483.90	11539.30	11211.80	11220.90	392001	0	0
2020.10.07	11237.00	11521.65	11222.00	11490.65	345651	0	0
2020.10.08	11489.10	11593.90	11485.10	11574.50	132201	0	0
2020.10.09	11580.85	11754.35	11567.60	11740.25	214101	0	0
2020.10.12	11712.20	12212.60	11708.60	12105.60	614601	0	0
2020.10.13	12118.75	12263.90	12035.80	12097.40	434851	0	0
2020.10.14	12094.30	12193.70	11918.45	11960.20	416401	0	0
2020.10.15	11969.75	11998.65	11753.40	11900.15	420901	0	0
2020.10.16	11910.60	12038.50	11809.25	11812.00	359901	0	0
2020.10.19	11835.80	11967.45	11608.95	11709.70	590901	0	0
2020.10.20	11719.80	11808.10	11614.85	11666.65	333351	0	0
2020.10.21	11698.00	11794.00	11600.00	11702.65	383351	0	0
2020.10.22	11692.15	11738.95	11526.30	11672.30	405451	0	0
2020.10.23	11687.65	11706.70	11566.45	11683.80	276651	0	0
2020.10.26	11631.95	11710.10	11358.10	11511.35	583401	0	0
2020.10.27	11512.15	11637.80	11492.30	11568.65	234501	0	0
2020.10.28	11567.25	11581.65	11137.55	11190.80	511751	0	0
2020.10.29	11195.95	11471.50	11157.70	11258.85	564701	0	0
2020.10.30	11227.00	11295.40	10960.20	11102.30	545701	0	0
2020.11.02	11040.35	11227.00	10957.75	11089.50	489351	0	0
2020.11.03	11085.30	11360.45	11081.70	11260.70	382101	0	0
2020.11.04	11279.75	11857.90	11244.15	11828.65	678601	0	0
2020.11.05	11834.25	12130.90	11784.15	12104.15	423601	0	0
2020.11.06	12092.10	12118.95	11879.75	12104.70	465801	0	0
2020.11.09	12171.10	12418.25	11820.50	11854.15	878551	0	0
2020.11.10	11870.45	11908.60	11513.35	11631.95	552001	0	0
2020.11.11	11639.40	11927.70	11584.05	11904.20	422501	0	0
2020.11.12	11907.55	11985.45	11786.05	11872.95	364201	0	0
2020.11.13	11866.90	11961.55	11810.95	11953.55	214551	0	0
2020.11.16	11968.25	12073.40	11861.25	12050.15	342401	0	0
2020.11.17	12089.25	12105.50	11963.65	11978.15	172601	0	0
2020.11.18	11981.80	12033.95	11869.70	11880.95	227651	0	0
2020.11.19	11884.05	12008.20	11813.20	11973.20	300851	0	0
2020.11.20	11961.05	12029.45	11890.13	11917.20	234791	0	0
2020.11.23	11907.70	12010.60	11816.35	11925.60	370601	0	0
2020.11.24	11925.20	12113.25	11881.60	12110.60	277901	0	0
2020.11.25	12108.90	12186.55	12087.30	12177.30	130101	0	0
2020.11.26	12184.15	12231.80	12136.05	12162.80	170151	0	0
2020.11.27	12171.80	12316.45	12145.95	12280.35	232451	0	0
2020.11.30	12300.40	12344.80	12095.55	12327.30	471601	0	0
2020.12.01	12338.90	12516.30	12316.05	12463.30	276101	0	0
2020.12.02	12463.45	12476.60	12317.85	12467.60	313351	0	0
2020.12.03	12478.00	12543.30	12447.30	12491.40	178601	0	0
2020.12.04	12492.75	12538.65	12477.65	12511.90	115042	0	0
2020.12.07	12529.10	12615.00	12478.25	12574.50	162240	0	0
2020.12.08	12575.60	12655.45	12506.10	12650.70	150788	0	0
2020.12.09	12665.00	12678.40	12310.75	12355.50	234827	0	0
2020.12.10	12349.05	12453.35	12222.95	12393.45	250479	0	0
2020.12.11	12394.90	12418.55	12238.15	12374.80	242074	0	0
2020.12.14	12421.40	12558.05	12397.05	12481.05	189862	0	0
2020.12.15	12482.30	12617.45	12431.95	12607.45	192566	0	0
2020.12.16	12612.30	12713.95	12581.20	12686.70	159845	0	0
2020.12.17	12688.30	12775.05	12680.70	12762.30	145427	0	0
2020.12.18	12753.85	12796.95	12618.60	12757.85	190235	0	0
2020.12.21	12772.20	12790.20	12470.75	12702.10	320462	0	0
2020.12.22	12719.85	12772.00	12606.90	12719.25	255064	0	0
2020.12.23	12716.70	12751.85	12637.10	12669.85	189767	0	0
2020.12.24	12674.40	12736.95	12644.55	12715.55	98757	0	0
2020.12.28	12679.10	12868.75	12678.35	12855.25	148260	0	0
2020.12.29	12857.60	12930.35	12821.75	12872.00	171751	0	0
2020.12.30	12871.70	12923.15	12834.40	12855.40	155289	0	0
2020.12.31	12856.50	12909.15	12810.15	12899.40	121627	0	0
2021.01.04	12911.10	12973.00	12535.75	12701.75	278601	0	0
2021.01.05	12698.85	12821.20	12624.25	12816.95	240276	0	0
2021.01.06	12816.00	12856.65	12503.15	12672.35	385766	0	0
2021.01.07	12671.85	12970.85	12660.50	12939.85	230864	0	0
2021.01.08	12944.10	13138.85	12933.00	13137.10	249305	0	0
2021.01.11	13102.30	13119.20	12886.20	12918.95	259727	0	0
2021.01.12	12929.65	12972.80	12782.70	12897.30	228830	0	0
2021.01.13	12898.90	13016.45	12834.15	12989.25	203228	0	0
2021.01.14	12990.70	13042.10	12893.20	12911.85	201261	0	0
2021.01.15	12923.80	12943.95	12757.45	12774.95	264224	0	0
2021.01.18	12790.25	12829.90	12740.40	12824.40	85350	0	0
2021.01.19	12826.10	13047.40	12824.85	13046.65	141047	0	0
2021.01.20	13046.00	13343.00	13034.90	13306.00	184271	0	0
2021.01.21	13306.60	13439.85	13299.50	13413.70	188128	0	0
2021.01.22	13412.65	13417.05	13316.85	13369.70	192815	0	0
2021.01.25	13388.50	13571.05	13206.40	13479.70	251075	0	0
2021.01.26	13471.15	13615.05	13397.05	13567.55	225533	0	0
2021.01.27	13567.60	13602.25	12897.10	13074.95	346262	0	0
2021.01.28	13046.90	13407.80	12921.05	13167.05	384707	0	0
2021.01.29	13171.95	13199.60	12845.35	12883.85	449561	0	0
2021.02.01	12862.05	13285.75	12741.70	13251.10	322998	0	0
2021.02.02	13254.70	13524.75	13248.35	13515.10	238507	0	0
2021.02.03	13524.60	13600.25	13404.00	13430.50	233644	0	0
2021.02.04	13451.80	13582.70	13359.95	13573.45	199615	0	0
2021.02.05	13569.85	13648.35	13529.60	13615.10	183482	0	0
2021.02.08	13637.20	13702.00	13606.95	13696.85	182147	0	0
2021.02.09	13694.05	13744.45	13643.45	13707.70	149789	0	0
2021.02.10	13705.60	13781.15	13528.10	13671.25	221607	0	0
2021.02.11	13675.60	13753.50	13623.50	13719.75	193881	0	0
2021.02.12	13716.85	13829.75	13656.00	13829.25	151427	0	0
2021.02.15	13852.95	13888.35	13829.35	13881.85	41079	0	0
2021.02.16	13879.45	13910.35	13726.35	13767.35	189206	0	0
2021.02.17	13763.60	13791.50	13550.15	13705.30	235261	0	0
2021.02.18	13708.15	13728.80	13475.30	13640.30	240568	0	0
2021.02.19	13639.40	13734.55	13541.25	13579.50	234440	0	0
2021.02.22	13606.10	13634.50	13221.60	13225.35	294003	0	0
2021.02.23	13233.80	13341.70	12764.65	13160.15	384500	0	0
2021.02.24	13181.05	13338.95	12965.55	13326.35	370067	0	0
2021.02.25	13305.05	13360.20	12770.85	12789.70	421050	0	0
2021.02.26	12796.20	13095.95	12670.10	12905.80	522495	0	0
2021.03.01	12978.00	13324.65	12953.65	13323.40	299292	0	0
2021.03.02	13317.60	13335.00	13055.75	13065.25	329159	0	0
2021.03.03	13063.90	13197.55	12670.05	12680.05	351248	0	0
2021.03.04	12685.35	12801.10	12310.65	12440.75	487641	0	0
2021.03.05	12439.30	12701.70	12212.95	12656.95	477027	0	0
2021.03.08	12726.15	12765.05	12288.45	12344.55	441127	0	0
2021.03.09	12341.20	12872.10	12331.35	12795.60	331977	0	0
2021.03.10	12813.45	12997.85	12709.10	12789.10	363324	0	0
2021.03.11	12795.45	13123.60	12728.85	13050.10	281184	0	0
2021.03.12	13055.25	13101.40	12775.40	12942.00	306866	0	0
2021.03.15	12962.35	13105.75	12879.75	13088.85	240510	0	0
2021.03.16	13089.30	13304.60	13063.05	13170.20	245350	0	0
2021.03.17	13173.05	13288.45	12951.70	13188.70	837133	0	0
2021.03.18	13195.80	13283.95	12778.50	12809.35	814366	0	0
2021.03.19	12819.30	12915.05	12698.05	12846.20	757165	0	0
2021.03.22	12832.25	13173.60	12806.40	13080.95	471137	0	0
2021.03.23	13081.80	13188.20	12995.30	13047.55	592498	0	0
2021.03.24	13065.00	13159.95	12799.80	12808.80	632290	0	0
2021.03.25	12811.25	12875.15	12625.40	12805.90	819495	0	0
2021.03.26	12803.85	13005.25	12692.85	12978.75	602297	0	0
2021.03.29	12989.85	13018.60	12824.00	12980.00	219737	0	0
2021.03.30	12985.45	13000.10	12793.50	12902.10	109501	0	0
2021.03.31	12904.50	13174.15	12874.90	13102.90	91673	0	0
2021.04.01	13110.00	13350.40	13109.75	13344.65	85058	0	0
2021.04.02	13349.85	13408.10	13343.75	13368.25	18284	0	0
2021.04.05	13351.60	13632.00	13322.75	13618.50	67539	0	0
2021.04.06	13617.15	13669.05	13541.05	13597.05	87573	0	0
2021.04.07	13597.90	13656.45	13529.30	13635.55	82673	0	0
2021.04.08	13635.90	13805.05	13631.05	13800.30	75903	0	0
2021.04.09	13802.30	13855.95	13664.20	13828.20	82959	0	0
2021.04.12	13830.90	13848.80	13749.20	13840.80	89620	0	0
2021.04.13	13841.90	14011.40	13790.20	13994.45	83735	0	0
2021.04.14	13994.10	14046.15	13789.00	13838.00	90378	0	0
2021.04.15	13843.35	14050.50	13805.25	14010.00	85519	0	0
2021.04.16	14012.95	14075.85	13971.35	14042.70	81997	0	0
2021.04.19	13993.15	14069.40	13837.95	13909.45	99367	0	0
2021.04.20	13914.85	13949.75	13735.90	13749.50	105984	0	0
2021.04.21	13758.10	13942.00	13717.25	13907.25	93844	0	0
2021.04.22	13908.35	13959.05	13717.45	13777.55	102107	0	0
2021.04.23	13770.30	13992.03	13753.95	13921.20	80915	0	0
2021.04.26	13930.90	14052.15	13881.55	14034.65	78908	0	0
2021.04.27	14039.00	14064.65	13928.50	13966.40	74108	0	0
2021.04.28	13970.60	14008.25	13894.00	13991.50	82064	0	0
2021.04.29	13983.80	14079.95	13834.85	13958.95	89444	0	0
2021.04.30	13959.80	13971.45	13834.85	13886.60	97004	0	0
2021.05.03	13886.20	13962.10	13786.20	13798.85	83194	0	0
2021.05.04	13798.45	13806.45	13395.20	13531.85	102185	0	0
2021.05.05	13540.30	13678.80	13476.85	13497.20	92224	0	0
2021.05.06	13496.30	13623.45	13400.70	13619.20	111520	0	0
2021.05.07	13628.00	13826.15	13597.65	13731.45	95285	0	0
2021.05.10	13724.80	13762.20	13315.70	13316.95	99372	0	0
2021.05.11	13329.25	13385.15	13075.50	13321.40	138985	0	0
2021.05.12	13332.35	13361.00	12970.25	12976.15	146485	0	0
2021.05.13	12987.25	13232.65	12924.65	13097.40	140910	0	0
2021.05.14	13105.05	13434.45	13079.20	13409.45	104866	0	0
2021.05.17	13392.80	13457.45	13192.60	13325.15	113656	0	0
2021.05.18	13317.15	13441.30	13186.95	13195.95	88038	0	0
2021.05.19	13193.95	13248.90	12961.20	13220.15	130121	0	0
2021.05.20	13222.60	13528.75	13158.40	13501.50	96070	0	0
2021.05.21	13496.95	13575.80	13402.65	13419.80	91648	0	0
2021.05.24	13390.90	13692.30	13363.55	13657.30	79313	0	0
2021.05.25	13660.40	13744.80	13613.40	13669.05	87374	0	0
2021.05.26	13672.70	13734.60	13662.60	13711.60	73215	0	0
2021.05.27	13703.70	13725.85	13625.60	13696.85	80844	0	0
2021.05.28	13696.70	13768.85	13668.10	13694.60	64968	0	0
2021.05.31	13701.20	13724.85	13657.75	13659.10	29279	0	0
2021.06.01	13663.70	13777.85	13598.25	13651.10	72802	0	0
2021.06.02	13650.55	13717.20	13608.20	13678.45	74191	0	0
2021.06.03	13688.55	13710.20	13465.95	13531.20	85434	0	0
2021.06.04	13533.40	13787.05	13471.30	13765.80	76107	0	0
2021.06.07	13781.40	13826.05	13694.65	13824.30	75711	0	0
2021.06.08	13824.65	13919.60	13745.70	13812.60	79959	0	0
2021.06.09	13819.10	13908.90	13810.40	13817.20	69276	0	0
2021.06.10	13820.15	13981.05	13732.05	13979.30	75842	0	0
2021.06.11	13980.65	14001.55	13939.20	13995.05	62290	0	0
2021.06.14	14003.25	14143.40	13975.15	14127.40	54595	0	0
2021.06.15	14129.60	14172.25	14018.25	14055.75	62904	0	0
2021.06.16	14052.35	14112.65	13848.25	13955.00	71597	0	0
2021.06.17	13952.10	14216.50	13860.50	14192.50	98556	0	0
2021.06.18	14194.10	14222.40	14028.85	14035.25	96184	0	0
2021.06.21	14034.35	14161.25	13976.25	14155.50	103776	0	0
2021.06.22	14155.00	14295.90	14084.15	14288.90	77598	0	0
2021.06.23	14288.00	14332.90	14249.30	14290.15	68471	0	0
2021.06.24	14292.75	14439.40	14287.50	14374.65	63859	0	0
2021.06.25	14375.85	14410.90	14330.15	14347.75	65193	0	0
2021.06.28	14359.45	14537.50	14350.35	14517.00	65690	0	0
2021.06.29	14518.95	14602.35	14487.60	14600.10	64255	0	0
2021.06.30	14602.95	14615.60	14536.80	14573.10	67767	0	0
2021.07.01	14574.70	14622.45	14489.00	14560.85	72509	0	0
2021.07.02	14553.10	14745.00	14529.75	14717.00	67129	0	0
2021.07.05	14719.35	14738.00	14691.40	14709.00	27988	0	0
2021.07.06	14710.40	14804.55	14640.55	14775.80	79743	0	0
2021.07.07	14778.15	14898.90	14741.40	14824.55	85240	0	0
2021.07.08	14825.65	14836.55	14556.50	14728.25	116902	0	0
2021.07.09	14727.65	14846.70	14656.30	14828.05	90792	0	0
2021.07.12	14848.50	14902.00	14800.00	14888.25	74005	0	0
2021.07.13	14891.00	15010.25	14811.00	14874.75	76367	0	0
2021.07.14	14878.55	15009.55	14855.80	14910.55	88106	0	0
2021.07.15	14907.05	14976.05	14723.40	14785.15	98087	0	0
2021.07.16	14792.75	14882.50	14670.50	14682.25	96246	0	0
2021.07.19	14691.85	14695.10	14457.85	14602.35	129599	0	0
2021.07.20	14607.40	14795.65	14529.40	14733.15	105360	0	0
2021.07.21	14740.65	14850.15	14681.90	14847.65	89364	0	0
2021.07.22	14848.15	14993.90	14841.90	14987.15	75484	0	0
2021.07.23	14993.40	15131.90	14948.50	15102.40	68810	0	0
2021.07.26	15109.80	15148.80	15053.90	15131.30	82077	0	0
2021.07.27	15133.90	15146.35	14786.85	14902.60	103888	0	0
2021.07.28	14897.35	15086.45	14886.60	14995.10	113315	0	0
2021.07.29	14999.80	15096.55	14926.30	14934.05	84844	0	0
2021.07.30	14932.40	14990.65	14823.90	14974.15	103545	0	0
2021.08.02	14996.20	15067.95	14946.45	14970.45	88280	0	0
2021.08.03	14973.45	15063.20	14863.30	15048.10	89118	0	0
2021.08.04	15057.85	15123.60	15012.85	15096.10	78682	0	0
2021.08.05	15091.60	15181.45	15084.10	15175.60	64804	0	0
2021.08.06	15178.65	15182.15	15062.65	15101.55	66715	0	0
2021.08.09	15098.60	15157.75	15016.10	15134.45	66447	0	0
2021.08.10	15139.20	15169.60	15009.10	15058.75	65442	0	0
2021.08.11	15053.50	15131.50	14976.95	15021.35	74706	0	0
2021.08.12	15011.65	15101.40	14952.90	15086.65	59782	0	0
2021.08.13	15083.80	15152.65	15066.30	15133.15	52565	0	0
2021.08.16	15126.90	15149.00	14927.65	15136.65	74536	0	0
2021.08.17	15138.40	15143.15	14907.30	14975.40	94534	0	0
2021.08.18	14980.00	15044.25	14814.00	14829.75	88822	0	0
2021.08.19	14854.30	15005.30	14717.55	14952.30	124292	0	0
2021.08.20	14942.05	15106.30	14858.80	15101.55	98778	0	0
2021.08.23	15114.90	15342.70	15109.90	15328.70	68050	0	0
2021.08.24	15331.35	15390.00	15316.20	15365.00	62330	0	0
2021.08.25	15368.30	15404.80	15341.30	15372.55	63425	0	0
2021.08.26	15370.60	15374.85	15263.70	15295.35	80892	0	0
2021.08.27	15291.60	15451.60	15273.60	15430.10	64803	0	0
2021.08.30	15438.25	15626.85	15429.00	15614.15	55969	0	0
2021.08.31	15612.65	15686.90	15529.40	15611.40	80063	0	0
2021.09.01	15611.70	15708.45	15589.95	15617.95	68030	0	0
2021.09.02	15626.45	15691.70	15562.45	15609.20	68822	0	0
2021.09.03	15608.35	15687.70	15564.30	15662.30	68751	0	0
2021.09.06	15672.05	15720.20	15654.30	15711.80	24357	0	0
2021.09.07	15708.80	15713.55	15619.30	15682.55	71056	0	0
2021.09.08	15685.55	15702.80	15537.90	15624.80	86075	0	0
2021.09.09	15618.45	15688.05	15558.95	15574.55	83018	0	0
2021.09.10	15578.45	15680.20	15447.35	15464.85	73142	0	0
2021.09.13	15473.35	15578.35	15364.60	15470.95	89980	0	0
2021.09.14	15460.95	15543.95	15366.45	15412.95	80192	0	0
2021.09.15	15414.90	15534.80	15327.80	15530.70	77324	0	0
2021.09.16	15528.85	15553.10	15378.85	15515.10	76406	0	0
