<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.17	15514.70	15549.20	15297.70	15308.45	88847	0	0
2021.09.20	15317.73	15355.33	14829.30	15014.05	133326	0	0
2021.09.21	15020.90	15183.15	14983.65	15010.15	110751	0	0
2021.09.22	15013.75	15246.50	14950.75	15188.25	101514	0	0
2021.09.23	15203.77	15366.25	15195.75	15309.75	89029	0	0
2021.09.24	15323.85	15353.60	15196.85	15337.10	88233	0	0
2021.09.27	15344.75	15419.00	15104.50	15199.25	91494	0	0
2021.09.28	15199.10	15211.60	14762.35	14789.60	123564	0	0
2021.09.29	14793.50	14944.25	14730.75	14784.00	119823	0	0
2021.09.30	14785.10	14901.60	14690.85	14697.85	117498	0	0
2021.10.01	14720.60	14835.60	14556.35	14786.60	125507	0	60
2021.10.04	14790.25	14850.75	14383.75	14507.50	137089	0	60
2021.10.05	14499.15	14769.15	14425.90	14661.65	116412	0	60
2021.10.06	14684.90	14784.90	14438.40	14776.40	134602	0	60
2021.10.07	14789.30	15015.20	14787.20	14900.95	94156	0	60
2021.10.08	14912.85	15010.10	14806.10	14823.12	105275	0	60
2021.10.11	14831.75	14911.75	14692.50	14700.00	108033	0	60
2021.10.12	14704.50	14798.25	14601.00	14617.50	113784	0	60
2021.10.13	14613.82	14810.65	14606.65	14783.15	100497	0	60
2021.10.14	14789.65	15083.85	14787.90	15074.45	73639	0	60
2021.10.15	15073.35	15158.60	15035.85	15154.35	80434	0	25
2021.10.18	15170.70	15311.00	15055.70	15305.15	84369	0	20
2021.10.19	15301.70	15440.45	15286.70	15422.50	74417	0	60
2021.10.20	15418.35	15460.65	15334.25	15371.75	77051	0	60
2021.10.21	15373.85	15497.50	15316.10	15395.10	77394	0	60
2021.10.22	15399.60	15477.20	15288.30	15336.05	88983	0	60
2021.10.25	15329.45	15559.95	15310.45	15551.45	80827	0	60
2021.10.26	15544.45	15715.55	15518.95	15548.70	89448	0	60
2021.10.27	15557.30	15729.40	15522.40	15602.70	94123	0	60
2021.10.28	15616.40	15790.10	15607.65	15679.40	91990	0	20
2021.10.29	15694.15	15876.00	15612.20	15869.95	97745	0	60
2021.11.01	15892.55	15930.05	15784.80	15903.80	85620	0	60
2021.11.02	15895.95	15995.60	15864.70	15973.95	82419	0	60
2021.11.03	15964.90	16161.05	15952.15	16142.90	79510	0	60
2021.11.04	16152.05	16390.55	16150.30	16348.05	83234	0	60
2021.11.05	16338.00	16460.60	16304.00	16355.25	96739	0	60
2021.11.08	16320.60	16404.55	16283.85	16335.25	92380	0	60
2021.11.09	16327.10	16402.45	16171.85	16211.10	97698	0	60
2021.11.10	16199.55	16252.30	15908.05	15996.15	91646	0	60
2021.11.11	16003.75	16123.40	15985.75	16046.75	75979	0	60
2021.11.12	16051.15	16221.90	16011.15	16208.40	68012	0	60
2021.11.15	16224.30	16284.05	16091.80	16199.05	68400	0	60
2021.11.16	16200.70	16329.70	16152.05	16298.80	66803	0	60
2021.11.17	16299.60	16399.60	16273.35	16323.10	66471	0	60
2021.11.18	16332.35	16506.35	16307.60	16501.60	73313	0	60
2021.11.19	16498.15	16637.00	16497.65	16597.15	86286	0	60
2021.11.22	16622.90	16780.70	16376.95	16395.35	81960	0	60
2021.11.23	16422.10	16431.05	16132.05	16306.05	104205	0	60
2021.11.24	16311.60	16379.85	16114.20	16364.85	94516	0	60
2021.11.25	16374.50	16447.35	16364.35	16416.12	28893	0	60
2021.11.26	16414.10	16416.85	16002.10	16050.70	108571	0	60
2021.11.29	16106.50	16451.10	16106.50	16425.60	110524	0	60
2021.11.30	16434.15	16469.40	16082.90	16244.15	128102	0	60
2021.12.01	16269.00	16440.10	15840.00	15877.75	116091	0	0
2021.12.02	15914.72	16076.95	15774.45	16019.45	131323	0	0
2021.12.03	16032.45	16133.20	15550.20	15698.45	124918	0	0
2021.12.06	15727.45	15908.70	15572.70	15856.45	119970	0	60
2021.12.07	15871.20	16387.35	15837.45	16380.45	93085	0	60
2021.12.08	16359.00	16446.40	16265.75	16399.00	95025	0	60
2021.12.09	16388.85	16432.35	16136.55	16168.80	86785	0	60
2021.12.10	16181.90	16354.85	16151.40	16337.35	79251	0	25
2021.12.13	16367.70	16430.20	16080.95	16114.10	87457	0	60
2021.12.14	16115.25	16148.75	15752.60	15947.00	99455	0	60
2021.12.15	15952.85	16316.50	15757.45	16300.85	98506	0	60
2021.12.16	16318.00	16473.50	15809.95	15896.10	107358	0	0
2021.12.17	15875.55	15973.05	15668.80	15842.30	121205	0	60
2021.12.20	15852.87	15862.85	15509.35	15695.35	129756	0	60
2021.12.21	15695.47	16002.55	15620.45	15993.70	100567	0	60
2021.12.22	15984.02	16197.00	15897.02	16196.00	89625	0	60
2021.12.23	16203.75	16369.30	16160.17	16315.70	64554	0	60
2021.12.27	16349.15	16595.15	16319.40	16587.05	66746	0	60
2021.12.28	16582.05	16671.15	16468.05	16529.65	79355	0	60
2021.12.29	16529.00	16578.50	16402.75	16495.75	76558	0	60
2021.12.30	16483.00	16581.45	16425.70	16440.60	68525	0	60
2021.12.31	16453.85	16477.90	16328.15	16343.40	69886	0	60
2022.01.03	16399.95	16521.45	16306.10	16504.55	79826	0	60
2022.01.04	16512.30	16574.80	16151.85	16270.30	90908	0	60
2022.01.05	16273.80	16277.10	15768.50	15770.00	103717	0	60
2022.01.06	15754.70	15905.85	15609.95	15795.95	132722	0	60
2022.01.07	15814.50	15863.25	15521.75	15585.75	113947	0	60
2022.01.10	15577.30	15681.95	15164.15	15626.90	124202	0	60
2022.01.11	15623.92	15850.70	15488.15	15835.95	116356	0	60
2022.01.12	15844.45	16022.95	15775.45	15915.75	108746	0	60
2022.01.13	15908.60	15991.60	15472.30	15504.05	107460	0	60
2022.01.14	15523.50	15629.75	15327.00	15628.50	133139	0	60
2022.01.17	15626.35	15650.45	15522.20	15571.97	58357	0	60
2022.01.18	15583.40	15616.65	15185.80	15254.80	131890	0	60
2022.01.19	15258.35	15385.10	15026.37	15051.60	136510	0	60
