DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-10-14,12094.3,12193.7,11918.45,11960.2,416401
2020-10-15,11969.75,11998.65,11753.4,11900.15,420901
2020-10-16,11910.6,12038.5,11809.25,11812.0,359901
2020-10-19,11835.8,11967.45,11608.95,11709.7,590901
2020-10-20,11719.8,11808.1,11614.85,11666.65,333351
2020-10-21,11698.0,11794.0,11600.0,11702.65,383351
2020-10-22,11692.15,11738.95,11526.3,11672.3,405451
2020-10-23,11687.65,11706.7,11566.45,11683.8,276651
2020-10-26,11631.95,11710.1,11358.1,11511.35,583401
2020-10-27,11512.15,11637.8,11492.3,11568.65,234501
2020-10-28,11567.25,11581.65,11137.55,11190.8,511751
2020-10-29,11195.95,11471.5,11157.7,11258.85,564701
2020-10-30,11227.0,11295.4,10960.2,11102.3,545701
2020-11-02,11040.35,11227.0,10957.75,11089.5,489351
2020-11-03,11085.3,11360.45,11081.7,11260.7,382101
2020-11-04,11279.75,11857.9,11244.15,11828.65,678601
2020-11-05,11834.25,12130.9,11784.15,12104.15,423601
2020-11-06,12092.1,12118.95,11879.75,12104.7,465801
2020-11-09,12171.1,12418.25,11820.5,11854.15,878551
2020-11-10,11870.45,11908.6,11513.35,11631.95,552001
2020-11-11,11639.4,11927.7,11584.05,11904.2,422501
2020-11-12,11907.55,11985.45,11786.05,11872.95,364201
2020-11-13,11866.9,11961.55,11810.95,11953.55,214551
2020-11-16,11968.25,12073.4,11861.25,12050.15,342401
2020-11-17,12089.25,12105.5,11963.65,11978.15,172601
2020-11-18,11981.8,12033.95,11869.7,11880.95,227651
2020-11-19,11884.05,12008.2,11813.2,11973.2,300851
2020-11-20,11961.05,12029.45,11890.13,11917.2,234791
2020-11-23,11907.7,12010.6,11816.35,11925.6,370601
2020-11-24,11925.2,12113.25,11881.6,12110.6,277901
2020-11-25,12108.9,12186.55,12087.3,12177.3,130101
2020-11-26,12184.15,12231.8,12136.05,12162.8,170151
2020-11-27,12171.8,12316.45,12145.95,12280.35,232451
